,x,y,zCall,zPut
0,4145,1.70795561560185,0.1655142648703884,0.1631345033375546
1,4150,1.70795561560185,0.16327001074505965,0.1631345033375546
2,4155,1.70795561560185,0.1593479793371167,0.1592569425736554
3,4160,1.70795561560185,0.15595831508941485,0.15590883858753368
4,4165,1.70795561560185,0.1529206907045096,0.15291091181943195
5,4170,1.70795561560185,0.14788805734845806,0.15012602504766548
6,4175,1.70795561560185,0.14513541761438822,0.147452664131904
7,4180,1.70795561560185,0.14238231221912426,0.14482028140123004
8,4185,1.70795561560185,0.14202538291378874,0.1421882479164516
9,4190,1.70795561560185,0.13933013592190108,0.1421629857966676
10,4145,8.707955615601849,0.1510438432613853,0.14815604536570603
11,4150,8.707955615601849,0.148448422387999,0.14815604536570603
12,4155,8.707955615601849,0.14549420956450046,0.1452933931745123
13,4160,8.707955615601849,0.14314692789996042,0.1430359259127988
14,4165,8.707955615601849,0.14039766420954836,0.14037548709517578
15,4170,8.707955615601849,0.13820416715438477,0.13827058208220405
16,4175,8.707955615601849,0.13556538158229087,0.13572085421349617
17,4180,8.707955615601849,0.13245208725333213,0.1336874281938304
18,4185,8.707955615601849,0.1298241283040028,0.13316408321922646
19,4190,8.707955615601849,0.12767417057049457,0.13217228308328194
20,4145,15.7079556156019,0.15551337581838018,0.15283105092463084
21,4150,15.7079556156019,0.15322174066654404,0.15283105092463084
22,4155,15.7079556156019,0.15073446960550496,0.1504651428123238
23,4160,15.7079556156019,0.14877630607634781,0.14862717807891312
24,4165,15.7079556156019,0.1466025414142874,0.14657279730550943
25,4170,15.7079556156019,0.14420473551017932,0.14502511411901797
26,4175,15.7079556156019,0.142304139346152,0.14324494958133432
27,4180,15.7079556156019,0.1408942918731365,0.1412232815068215
28,4185,15.7079556156019,0.13849735908376754,0.13968659956604243
29,4190,15.7079556156019,0.13657347986003146,0.13937932138553588
30,4145,22.707955615601897,0.16020654216387772,0.15765646504927427
31,4150,22.707955615601897,0.1587403787901916,0.15765646504927427
32,4155,22.707955615601897,0.15652549042392058,0.15620150664807297
33,4160,22.707955615601897,0.15478537274893606,0.15460580215093214
34,4165,22.707955615601897,0.15290171501084696,0.15286585909889544
35,4170,22.707955615601897,0.15147999317737998,0.15158756091323444
36,4175,22.707955615601897,0.1492945869854651,0.15076694947379876
37,4180,22.707955615601897,0.14694899334275396,0.1491795686705038
38,4185,22.707955615601897,0.14566242967089638,0.14743025418693428
39,4190,22.707955615601897,0.14420857721503128,0.1461286147339153
40,4145,29.7079556156018,0.1601365183618036,0.15768294952969303
41,4150,29.7079556156018,0.1582202061324729,0.15768294952969303
42,4155,29.7079556156018,0.15673969457324127,0.15744325042999113
43,4160,29.7079556156018,0.1551524592890695,0.15601928760202716
44,4165,29.7079556156018,0.15345576452044185,0.15448598170490585
45,4170,29.7079556156018,0.15218183190847628,0.15337596183329005
46,4175,29.7079556156018,0.15079186234768716,0.15161518044281402
47,4180,29.7079556156018,0.1487464455522713,0.1508078985550616
48,4185,29.7079556156018,0.1476508029700257,0.14934400527969705
49,4190,29.7079556156018,0.14589153497843071,0.14775522749281952
50,4145,36.7079556156018,0.16319317664802074,0.1612784651290451
51,4150,36.7079556156018,0.16187631589471713,0.1612784651290451
52,4155,36.7079556156018,0.16047668386414884,0.1600636714887398
53,4160,36.7079556156018,0.15899265074213614,0.15924774576507042
54,4165,36.7079556156018,0.157422237468604,0.15834383917952655
55,4170,36.7079556156018,0.15624664668008342,0.15686734394809465
56,4175,36.7079556156018,0.15449637177030087,0.1557837503492483
57,4180,36.7079556156018,0.15313605900681576,0.15460757748423493
58,4185,36.7079556156018,0.15167970362203198,0.1533367589815054
59,4190,36.7079556156018,0.1506101089628355,0.15245444743384143
