Symbol,Date,Time,Price,Volume
ESU13,09/01/2013,17:00:00.083,1640.25,8
ESU13,09/01/2013,17:00:00.083,1640.25,1
ESU13,09/01/2013,17:00:00.083,1640.25,2
ESU13,09/01/2013,17:00:00.083,1640.25,1
ESU13,09/01/2013,17:00:00.083,1640.25,1
ESU13,09/01/2013,17:00:00.083,1640.25,12
ESU13,09/01/2013,17:00:00.083,1640.25,4
ESU13,09/01/2013,17:00:00.083,1640.25,4
ESU13,09/01/2013,17:00:00.083,1640.25,1
ESU13,09/01/2013,17:00:00.083,1640.25,1
ESU13,09/01/2013,17:00:00.083,1640.25,4
ESU13,09/01/2013,17:00:00.083,1640.25,1
ESU13,09/01/2013,17:00:00.083,1640.25,1
ESU13,09/01/2013,17:00:00.083,1640.25,7
ESU13,09/01/2013,17:00:00.083,1640.25,7
ESU13,09/01/2013,17:00:00.083,1640.25,1
ESU13,09/01/2013,17:00:00.083,1640.25,2
ESU13,09/01/2013,17:00:00.083,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,2
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,4
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,3
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,10
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,2
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,3
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,4
ESU13,09/01/2013,17:00:00.101,1640.25,5
ESU13,09/01/2013,17:00:00.101,1640.25,10
ESU13,09/01/2013,17:00:00.101,1640.25,1
ESU13,09/01/2013,17:00:00.101,1640.25,2
