Symbol,Date,Time,Bid_Price,Ask_Price,Bid_Size,Ask_Size
ESU13,09/01/2013,17:00:00.095,1640,1640.25,10,1452
ESU13,09/01/2013,17:00:00.095,1640,1640.25,10,1452
ESU13,09/01/2013,17:00:00.095,1640,1640.25,10,16
ESU13,09/01/2013,17:00:00.095,1640,1640.25,9,16
ESU13,09/01/2013,17:00:00.095,1640,1640.25,7,16
ESU13,09/01/2013,17:00:00.095,1640,1640.25,7,17
ESU13,09/01/2013,17:00:00.095,1640,1640.25,7,19
ESU13,09/01/2013,17:00:00.095,1640,1640.25,7,17
ESU13,09/01/2013,17:00:00.101,1640,1640.25,7,15
ESU13,09/01/2013,17:00:00.101,1640,1640.25,2,15
ESU13,09/01/2013,17:00:00.101,1640,1640.25,2,14
ESU13,09/01/2013,17:00:00.121,1640,1640.25,2,13
ESU13,09/01/2013,17:00:00.121,1640,1640.25,2,12
ESU13,09/01/2013,17:00:00.135,1639.75,1640.25,25,12
ESU13,09/01/2013,17:00:00.135,1639.75,1640.25,25,12
ESU13,09/01/2013,17:00:00.135,1639.75,1640.25,22,12
ESU13,09/01/2013,17:00:00.144,1639.75,1640,22,1
ESU13,09/01/2013,17:00:00.144,1639.75,1640,22,2
ESU13,09/01/2013,17:00:00.150,1639.75,1640,20,2
ESU13,09/01/2013,17:00:00.155,1639.75,1640,20,1
ESU13,09/01/2013,17:00:00.155,1639.75,1640.25,20,12
ESU13,09/01/2013,17:00:00.155,1639.75,1640.25,20,12
ESU13,09/01/2013,17:00:00.155,1639.75,1640.25,19,12
ESU13,09/01/2013,17:00:00.155,1639.75,1640.25,18,12
ESU13,09/01/2013,17:00:00.155,1639.75,1640.25,16,12
ESU13,09/01/2013,17:00:00.155,1639.75,1640.25,15,12
ESU13,09/01/2013,17:00:00.155,1639.75,1640.25,14,12
ESU13,09/01/2013,17:00:00.161,1639.75,1640.25,12,12
ESU13,09/01/2013,17:00:00.161,1639.75,1640.25,12,11
ESU13,09/01/2013,17:00:00.161,1639.75,1640.25,12,10
ESU13,09/01/2013,17:00:00.161,1639.75,1640,12,40
ESU13,09/01/2013,17:00:00.161,1639.75,1640,12,39
ESU13,09/01/2013,17:00:00.161,1639.75,1640,12,36
ESU13,09/01/2013,17:00:00.161,1639.75,1640,12,35
ESU13,09/01/2013,17:00:00.166,1639.75,1640,11,35
ESU13,09/01/2013,17:00:00.171,1639.75,1640,10,35
ESU13,09/01/2013,17:00:00.177,1639.75,1640,10,34
ESU13,09/01/2013,17:00:00.177,1639.75,1640,8,34
ESU13,09/01/2013,17:00:00.177,1639.75,1640,7,34
ESU13,09/01/2013,17:00:00.177,1639.75,1640,6,34
ESU13,09/01/2013,17:00:00.182,1639.75,1640,5,34
ESU13,09/01/2013,17:00:00.182,1639.75,1640,5,31
ESU13,09/01/2013,17:00:00.182,1639.75,1640,5,21
ESU13,09/01/2013,17:00:00.187,1639.75,1640,3,21
ESU13,09/01/2013,17:00:00.187,1639.75,1640,2,21
ESU13,09/01/2013,17:00:00.187,1639.75,1640,1,21
ESU13,09/01/2013,17:00:00.187,1639.5,1640,45,21
ESU13,09/01/2013,17:00:00.187,1639.5,1640,45,21
ESU13,09/01/2013,17:00:00.187,1639.5,1640,44,21
ESU13,09/01/2013,17:00:00.191,1639.5,1640,44,20
ESU13,09/01/2013,17:00:00.196,1639.5,1640,43,20
ESU13,09/01/2013,17:00:00.196,1639.5,1640,42,20
ESU13,09/01/2013,17:00:00.202,1639.5,1640,41,20
ESU13,09/01/2013,17:00:00.207,1639.5,1640,40,20
ESU13,09/01/2013,17:00:00.215,1639.5,1640,40,19
ESU13,09/01/2013,17:00:00.215,1639.5,1640,15,19
ESU13,09/01/2013,17:00:00.215,1639.5,1640,15,18
ESU13,09/01/2013,17:00:00.222,1639.5,1640,9,18
ESU13,09/01/2013,17:00:00.230,1639.5,1640,8,18
ESU13,09/01/2013,17:00:00.230,1639.5,1640,8,17
ESU13,09/01/2013,17:00:00.230,1639.5,1640,8,16
ESU13,09/01/2013,17:00:00.230,1639.5,1640,8,15
ESU13,09/01/2013,17:00:00.230,1639.5,1640,8,11
ESU13,09/01/2013,17:00:00.235,1639.5,1640,8,9
